INTPTLAT,INTPTLONG
39.806402,-90.95883
39.891313,-91.205887
40.060739,-91.098054
40.059761,-90.970457
39.982806,-91.097926
39.977825,-90.962427
39.99391,-91.314107
39.80598,-91.315353
39.981556,-91.213686
40.066323,-91.200985
40.157301,-91.092619
40.144978,-91.203442
39.88222,-91.091844
40.162495,-91.406187
39.885869,-90.991157
39.883078,-91.343049
40.101637,-91.290728
40.1446,-90.972997
39.805514,-91.19643
39.933675,-91.379304
39.792234,-91.101262
39.998434,-91.432748
40.081848,-91.405093
37.073694,-89.278254
37.006288,-89.18288
37.29852,-89.421926
37.159994,-89.368963
37.193303,-89.305519
37.298222,-89.288608
37.211129,-89.399524
38.785228,-89.546883
38.868614,-89.433083
38.974789,-89.429784
38.788451,-89.420958
38.970777,-89.310401
38.877194,-89.557524
38.878355,-89.323188
38.972761,-89.542023
38.779478,-89.312653
42.281805,-88.890102
42.294583,-88.75487
42.370721,-88.74014
42.371137,-88.901401
42.206101,-88.890611
42.447152,-88.759293
42.449604,-88.896902
42.369797,-88.823009
42.197117,-88.75752
39.88769,-90.853353
39.976469,-90.595465
39.884233,-90.740995
39.967997,-90.867564
40.058911,-90.742291
39.975797,-90.737086
40.061252,-90.855415
40.032428,-90.656931
39.886303,-90.630404
41.285756,-89.458221
41.457051,-89.344219
41.452161,-89.56946
41.540381,-89.221563
41.361741,-89.67746
41.451289,-89.452536
41.540674,-89.801704
41.459508,-89.796432
41.542145,-89.673105
41.35883,-89.223285
41.276482,-89.572661
41.542356,-89.333286
41.283848,-89.359842
41.275496,-89.687684
41.450304,-89.680642
41.183595,-89.574265
41.368479,-89.794987
41.280245,-89.794395
41.543831,-89.456061
41.364012,-89.4511
41.36987,-89.338647
41.543573,-89.578609
41.44833,-89.220652
41.188673,-89.499213
41.358102,-89.557474
39.36606,-90.765449
39.340601,-90.646834
39.267741,-90.638674
39.137687,-90.665346
39.251086,-90.702122
39.150215,-90.626698
38.918311,-90.589735
39.022799,-90.629615
42.147231,-89.777579
41.977492,-89.715082
41.976651,-89.919236
42.157612,-89.92805
42.069797,-90.032331
42.061617,-89.772315
42.0709,-89.924189
42.080591,-90.143753
42.160522,-90.171299
42.153185,-90.036818
41.976583,-89.802081
41.985776,-90.05832
39.918129,-90.333326
39.916316,-90.022674
40.0032,-90.434771
40.035922,-90.360396
40.06978,-90.095981
39.915796,-90.466323
40.003199,-90.022854
39.996713,-90.104359
39.916398,-90.107363
40.01342,-90.216061
39.927733,-90.221125
39.923183,-87.973878
40.347352,-88.394367
40.091094,-88.310142
40.114099,-88.274619
40.018484,-88.399503
40.264458,-88.006496
40.25651,-88.279799
39.916453,-88.18738
40.110126,-88.197323
40.36243,-88.280848
40.363698,-88.069379
40.185944,-88.298011
40.349548,-87.969393
40.362519,-88.184662
40.184377,-88.407371
40.263866,-88.400609
40.148733,-87.971954
39.919274,-88.284733
40.01806,-88.194739
40.270861,-88.165365
39.923505,-88.066311
39.930688,-88.396922
40.103336,-88.061111
40.091424,-88.397816
40.004312,-88.076791
40.180226,-88.172702
40.023963,-87.97111
40.181311,-88.077643
40.017846,-88.285031
40.095313,-88.16764
39.516243,-89.081196
39.485521,-89.411884
39.66224,-89.336071
