INTPTLAT,INTPTLONG
40.803786,-90.400933
40.418307,-90.497373
38.391286,-89.486764
41.930782,-88.008987
42.140519,-89.491864
41.78614,-90.216554
38.545184,-89.614287
38.376609,-88.059063
41.198529,-90.74404
41.062906,-90.555402
42.162506,-88.315603
38.887446,-89.736876
38.527619,-87.710257
39.558655,-88.538882
39.916139,-87.935258
38.723098,-88.911937
38.585711,-90.116412
41.19176,-90.380577
39.559411,-90.433585
41.67027,-87.737085
39.057049,-88.747519
38.902125,-90.154083
41.115054,-90.164824
37.573654,-89.319546
40.307028,-87.606903
41.728959,-89.367668
40.568252,-88.538318
41.43589,-90.713972
41.294897,-90.290735
37.467108,-89.234522
39.145412,-87.815669
41.394789,-89.888052
42.47715,-88.067129
42.433843,-90.159677
42.502261,-90.093699
39.683576,-88.300851
39.8804,-90.370556
39.98512,-88.820152
41.471669,-89.248285
42.097362,-87.981671
40.339753,-89.314264
41.081805,-87.804373
40.449293,-88.632067
39.714415,-88.46939
40.878226,-87.953068
39.888579,-90.008036
38.328335,-89.188951
39.530507,-88.020204
41.868214,-89.222422
39.517796,-89.048468
40.227858,-90.356524
39.961854,-89.721624
41.413207,-90.004003
40.263574,-89.230845
39.799231,-88.462591
39.575749,-89.742683
40.230927,-90.949788
41.763455,-88.290099
37.888524,-89.496305
38.625967,-89.613424
40.662033,-90.43521
38.183829,-89.845152
40.512612,-89.915609
42.192226,-87.869811
40.496274,-90.563391
42.151535,-88.128534
42.138642,-88.202959
39.698263,-91.039785
38.537311,-89.467278
41.980546,-88.204761
40.642046,-89.659792
40.327801,-91.199495
41.847692,-88.311047
39.033196,-90.653366
40.189972,-90.142448
39.729438,-90.909282
40.809808,-89.526986
42.420341,-87.85381
40.009905,-90.431595
40.142347,-89.195071
40.953454,-87.655008
38.605801,-89.432271
41.767773,-87.772556
41.350411,-87.617076
39.186651,-88.787562
40.06076,-87.632829
37.3226,-88.93971
38.223449,-88.555831
38.231742,-88.739175
38.515973,-89.989779
40.687651,-89.673287
40.340654,-88.525852
38.382967,-87.91061
41.882901,-87.876172
42.254493,-88.864567
39.922926,-88.571885
39.092997,-89.802332
41.959701,-87.94346
40.850705,-89.121096
40.34367,-91.112288
38.012778,-88.917068
41.889124,-87.911466
39.757649,-89.902664
41.843333,-87.790926
38.902967,-90.053468
39.644185,-88.740882
40.853931,-90.862252
41.766811,-88.526453
39.112236,-89.213728
41.199461,-90.11746
40.259434,-87.61126
40.554139,-90.868055
41.951525,-88.089118
40.475777,-88.969912
41.65757,-87.681126
39.700543,-89.118573
39.749254,-90.535253
38.326126,-88.735427
41.69112,-88.101566
40.111399,-88.368273
38.444859,-87.997486
41.145018,-88.054037
38.201931,-88.907268
39.765489,-89.047239
41.710352,-88.333783
41.183114,-87.878093
40.232054,-91.063282
41.225288,-88.267629
41.177181,-89.658213
41.16428,-87.845032
41.27018,-88.223421
38.613802,-89.523713
38.708271,-87.759361
41.740205,-87.806659
39.040886,-90.140119
40.838216,-89.883772
39.908726,-87.997117
41.858373,-87.856192
40.066866,-89.44286
39.715469,-87.933481
41.825059,-87.847546
38.654395,-90.167912
37.125817,-88.625983
37.933946,-88.461418
40.12705,-90.373003
38.377519,-87.983137
38.994347,-88.955273
38.948489,-90.589069
40.465437,-90.094885
41.047068,-88.174912
40.597661,-88.037451
37.981015,-89.015659
41.329104,-89.679106
39.849883,-89.408941
42.165981,-87.961826
42.323631,-88.360955
39.591879,-89.425762
37.471116,-88.97466
39.041478,-89.95114
41.74442,-87.768505
41.287804,-89.364517
42.052859,-88.569769
41.63948,-87.54496
38.250876,-88.258331
41.747898,-87.920105
37.841927,-89.129903
40.551619,-90.504684
39.197622,-89.53185
42.127081,-89.262726
40.995751,-88.203692
38.555606,-90.180252
37.006288,-89.18288
42.368623,-88.893925
38.651142,-88.044016
41.596579,-87.564447
41.665735,-87.65765
39.798808,-88.168291
37.779795,-89.118231
41.292445,-90.19092
40.152829,-90.773324
37.929816,-89.551103
40.038016,-91.066189
41.950241,-88.417049
41.024596,-88.30734
42.351108,-88.870408
40.564245,-90.040728
39.935289,-89.678989
42.398777,-88.738656
41.498274,-90.392013
37.722062,-89.223664
41.296974,-88.299893
39.277477,-89.876128
40.583551,-89.128899
38.622266,-89.375442
38.085888,-88.172584
41.920354,-88.133217
42.123534,-88.293298
37.688601,-88.628976
39.294493,-90.406894
37.762798,-89.084481
40.414416,-91.127848
42.212144,-88.249627
39.302613,-87.989456
38.630282,-90.034097
40.06799,-87.708383
37.470515,-88.165755
41.26511,-89.126016
42.375568,-89.636147
38.548451,-89.128413
38.522066,-89.123533
38.569235,-90.122284
39.889622,-88.734732
42.014236,-89.888442
40.114099,-88.274619
40.047186,-90.151326
41.4228,-88.262954
42.482745,-88.14713
39.76702,-90.402741
39.48163,-88.175505
39.674535,-89.693303
40.710612,-88.300974
41.005876,-87.909738
42.416207,-88.664176
40.737778,-88.727806
41.428244,-89.213699
42.235178,-88.975113
37.925605,-89.827693
39.256614,-90.066765
40.053806,-89.186633
41.837551,-87.681844
41.510685,-87.634672
41.703415,-87.779467
40.915962,-89.502681
39.804445,-87.675215
37.97087,-89.053002
41.844537,-87.759289
40.014673,-88.723698
38.513781,-88.437068
40.566716,-87.892311
38.717625,-87.972866
41.798447,-87.957239
38.685706,-88.348649
40.030564,-90.957999
39.813808,-89.568328
41.501998,-90.316767
40.934474,-87.933964
40.146702,-88.96251
41.27837,-88.279203
39.284792,-89.302962
41.449229,-90.458889
40.0324,-91.160241
37.533392,-89.254353
39.088249,-89.389771
40.427317,-90.792147
41.902636,-89.800237
40.566584,-88.616098
38.676825,-90.005749
41.47337,-90.332439
37.807625,-89.078131
38.458057,-90.215995
39.988126,-91.145242
41.766462,-89.765344
41.694025,-89.086087
39.815969,-90.37095
40.616652,-89.204822
40.542574,-88.714569
41.677027,-90.320864
40.992195,-88.729389
39.937628,-89.401578
41.9377,-88.691396
38.185079,-89.604316
41.563453,-87.725409
41.774208,-87.875223
39.249224,-88.859351
41.400186,-90.563242
37.723611,-88.810281
37.753729,-89.059176
37.619847,-88.837446
40.771847,-87.856302
41.573771,-88.111025
41.933512,-88.9741
41.645598,-87.740078
41.439406,-87.623621
40.642116,-89.59956
38.162478,-88.064338
42.233209,-88.33436
41.568559,-88.163791
40.493601,-90.193353
40.878338,-88.269692
39.742214,-89.77818
38.032546,-89.567574
37.365722,-89.018887
38.198173,-88.684571
42.38749,-89.526851
40.6353,-91.164279
39.716765,-88.808424
41.352529,-89.170009
38.508778,-89.615019
40.956508,-88.949973
40.821973,-87.97786
40.529753,-89.17533
40.142628,-87.610707
41.745663,-87.981494
38.318739,-89.729237
42.421637,-89.415505
42.114335,-89.089832
39.853275,-89.462654
41.391523,-88.799197
39.855983,-88.933746
40.62889,-89.331277
42.166069,-87.852467
41.609761,-89.687409
42.166284,-88.08618
41.930614,-88.74783
40.121781,-88.643162
40.37111,-89.545865
41.327184,-89.29595
37.815706,-89.226966
42.035118,-87.901072
39.620147,-90.67596
40.184767,-88.78562
41.285164,-88.250638
39.060129,-88.381833
39.570431,-89.653638
38.444474,-88.94596
41.63295,-87.667233
41.844456,-89.479044
41.630274,-87.596839
37.357109,-89.164989
39.030705,-89.474583
40.884858,-87.6141
39.085884,-89.887769
41.434029,-89.395918
37.939573,-89.239529
41.795028,-88.021242
40.399294,-88.891103
38.221398,-89.212855
40.491423,-90.03209
40.848766,-89.671464
38.516124,-90.217599
38.001719,-89.23284
42.434192,-89.32648
41.099645,-88.422939
39.108699,-89.779025
41.588068,-88.922954
38.88412,-90.107943
41.172687,-88.265426
