# https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_cousubs_36.txt
INTPTLAT,INTPTLONG
42.665745,-73.798353
42.603916,-74.130364
42.58594,-73.827782
42.491282,-73.875102
42.772867,-73.707759
42.743332,-73.7856
42.74787,-73.692595
42.706657,-73.96228
42.685353,-74.105633
42.60349,-73.939215
42.479477,-74.178608
42.724883,-73.707011
42.500334,-74.050291
42.233277,-77.795082
42.3974,-78.004345
42.047668,-78.016224
42.340932,-77.78163
42.226063,-78.00327
42.150699,-77.811193
42.304028,-78.015503
42.298023,-78.135597
42.397379,-77.889195
42.021835,-78.131495
42.435979,-77.781834
42.392379,-78.136443
42.474965,-78.267694
42.140145,-78.247654
42.208476,-78.243396
42.214748,-78.130691
42.046124,-78.245177
42.479746,-78.01105
42.479522,-77.893852
42.482162,-78.121765
42.043602,-77.794465
42.285278,-78.253026
42.231299,-78.302818
42.393073,-78.250648
42.147968,-77.992253
42.225029,-77.901772
42.118443,-77.925296
42.30794,-77.915557
42.035864,-77.893377
42.124497,-78.134076
40.848711,-73.852939
42.265005,-75.911308
42.101331,-75.909369
42.035053,-75.905551
42.215645,-75.902254
42.179504,-75.650355
42.04072,-75.835038
42.130533,-75.918158
42.201502,-75.803326
42.091575,-75.799323
42.379304,-76.055997
42.196117,-76.016638
42.284937,-76.026586
42.091132,-75.496182
42.355473,-75.928493
42.126619,-76.033242
42.049395,-76.017594
42.063826,-75.672418
42.091286,-78.531856
42.124118,-78.670416
42.453825,-78.651738
42.056363,-78.637943
42.530216,-79.031189
42.055537,-78.844518
42.225426,-79.006508
42.376833,-78.995439
42.408377,-78.743584
42.307754,-78.643656
42.384228,-78.405907
42.304423,-78.497988
42.471364,-78.377481
42.200337,-78.63751
42.16675,-78.372348
42.231079,-78.497261
42.23788,-78.384517
42.300481,-79.001361
42.224471,-78.759228
42.314151,-78.369484
42.397798,-78.506909
42.304609,-78.766918
42.212802,-78.884569
42.3068,-78.889687
42.231046,-78.314009
42.083943,-78.435119
42.061319,-78.424466
42.399472,-78.843783
42.481182,-79.017384
42.419658,-78.917725
42.058997,-78.349923
42.134227,-78.999392
42.069947,-78.735257
42.164734,-78.741263
42.174389,-78.805956
42.04526,-79.002709
42.479169,-78.520073
43.536977,-76.687037
42.9338,-76.567181
42.929125,-76.668373
43.045573,-76.546383
43.120219,-76.536757
43.117487,-76.656916
42.87445,-76.577616
42.647362,-76.569365
43.209261,-76.530923
42.745344,-76.674047
42.654563,-76.419295
43.040598,-76.633632
43.013147,-76.698035
42.736689,-76.412911
42.81722,-76.404435
42.893765,-76.493283
42.790136,-76.571551
42.740769,-76.327202
42.977578,-76.518365
42.852667,-76.672327
43.315059,-76.658702
42.652705,-76.321053
42.98362,-76.618881
42.722268,-76.543062
43.210319,-76.648094
42.49743,-79.50856
42.389034,-79.247945
42.051324,-79.326276
42.039848,-79.098719
42.544409,-79.086369
42.30488,-79.237378
42.241771,-79.506639
42.169538,-79.403867
42.302111,-79.122244
42.049014,-79.582444
42.480551,-79.332898
42.46949,-79.320099
42.189926,-79.353553
42.133036,-79.231498
42.220261,-79.120588
42.041719,-79.711489
42.227264,-79.230764
42.487425,-79.114245
42.049553,-79.458099
42.097603,-79.236135
42.02707,-79.193096
42.124592,-79.699979
42.125557,-79.463345
42.130072,-79.120853
42.40869,-79.331304
42.370198,-79.460235
42.228753,-79.699933
42.489638,-79.225457
42.136066,-79.579872
42.299455,-79.356732
42.392667,-79.117538
42.268345,-79.599793
42.019488,-76.750371
42.101825,-76.657096
42.13849,-76.913756
42.23124,-76.895548
42.055631,-76.605721
42.093388,-76.80961
42.090471,-76.775624
42.184077,-76.6717
42.157725,-76.778873
42.049974,-76.877424
42.234191,-76.579111
42.247165,-76.793468
42.226305,-75.526837
42.296565,-75.476683
42.691555,-75.369681
42.291156,-75.629128
42.503771,-75.824223
42.308164,-75.753974
42.402046,-75.450687
42.677344,-75.843763
42.50171,-75.728039
42.592026,-75.386612
42.590088,-75.508076
42.533322,-75.522758
42.510875,-75.48591
42.676312,-75.73747
42.397073,-75.596228
42.59762,-75.733879
42.587582,-75.827956
42.605218,-75.604989
42.503326,-75.610357
42.693974,-75.481214
42.410065,-75.760699
42.687973,-75.615788
44.84173,-73.670487
44.50361,-73.533637
44.788193,-73.502927
44.524426,-73.817513
44.966283,-73.436895
44.856525,-73.46074
44.937659,-73.920208
44.761301,-73.822021
44.811802,-73.864913
44.956357,-73.658432
44.581071,-73.563663
