# https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_cousubs_36.txt
USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
NY	3600101000	00978659	Albany city	F	55395227	1418568	21.388	0.548	42.665745	-73.798353                                                                                                                 
NY	3600106211	00978728	Berne town	A	165835665	1823371	64.03	0.704	42.603916	-74.130364                                                                                                                  
NY	3600106354	00978731	Bethlehem town	A	126987104	2160037	49.03	0.834	42.58594	-73.827782                                                                                                               
NY	3600116694	00978845	Coeymans town	A	129832919	7868822	50.129	3.038	42.491282	-73.875102                                                                                                              
NY	3600116749	00978847	Cohoes city	F	9773349	1198514	3.774	0.463	42.772867	-73.707759                                                                                                                   
NY	3600117343	00978853	Colonie town	A	144904720	4906368	55.948	1.894	42.743332	-73.7856                                                                                                                 
NY	3600130532	00979020	Green Island town	B	1935069	482922	0.747	0.186	42.74787	-73.692595                                                                                                               
NY	3600131104	00979030	Guilderland town	A	149971476	2286885	57.904	0.883	42.706657	-73.96228                                                                                                            
NY	3600140002	00979122	Knox town	A	108164308	451486	41.762	0.174	42.685353	-74.105633                                                                                                                   
NY	3600150672	00979272	New Scotland town	A	148924477	1213755	57.5	0.469	42.60349	-73.939215                                                                                                             
NY	3600161181	00979415	Rensselaerville town	A	159191855	1088427	61.464	0.42	42.479477	-74.178608                                                                                                        
NY	3600178674	00979606	Watervliet city	F	3484801	335920	1.345	0.13	42.724883	-73.707011                                                                                                                 
NY	3600179851	00979619	Westerlo town	A	149682672	1926625	57.793	0.744	42.500334	-74.050291                                                                                                              
NY	3600301209	00978665	Alfred town	A	81523674	385955	31.476	0.149	42.233277	-77.795082                                                                                                                  
NY	3600301319	00978668	Allen town	A	94216142	525410	36.377	0.203	42.3974	-78.004345                                                                                                                     
NY	3600301429	00978669	Alma town	A	93796425	780831	36.215	0.301	42.047668	-78.016224                                                                                                                    
NY	3600301451	00978670	Almond town	A	118406877	174639	45.717	0.067	42.340932	-77.78163                                                                                                                  
NY	3600302011	00978676	Amity town	A	89305431	318395	34.481	0.123	42.226063	-78.00327                                                                                                                    
NY	3600302154	00978681	Andover town	A	102124417	171049	39.43	0.066	42.150699	-77.811193                                                                                                                 
NY	3600302187	00978682	Angelica town	A	94260133	97381	36.394	0.038	42.304028	-78.015503                                                                                                                 
NY	3600305573	00978720	Belfast town	A	94004437	644389	36.295	0.249	42.298023	-78.135597                                                                                                                 
NY	3600306717	00978735	Birdsall town	A	92951933	442892	35.889	0.171	42.397379	-77.889195                                                                                                                
NY	3600307201	00978740	Bolivar town	A	92902524	26513	35.87	0.01	42.021835	-78.131495                                                                                                                    
NY	3600311253	00978767	Burns town	A	70499925	93536	27.22	0.036	42.435979	-77.781834                                                                                                                     
NY	3600312243	00978787	Caneadea town	A	92329887	1795692	35.649	0.693	42.392379	-78.136443                                                                                                               
NY	3600313475	00978807	Centerville town	A	91756984	120974	35.428	0.047	42.474965	-78.267694                                                                                                             
NY	3600315990	00978833	Clarksville town	A	93945811	52821	36.273	0.02	42.140145	-78.247654                                                                                                               
NY	3600319367	00978880	Cuba town	A	90753702	1975723	35.04	0.763	42.208476	-78.243396                                                                                                                    
NY	3600327705	00978978	Friendship town	A	93797593	33849	36.215	0.013	42.214748	-78.130691                                                                                                               
NY	3600328563	00978989	Genesee town	A	93867081	125069	36.242	0.048	42.046124	-78.245177                                                                                                                 
NY	3600329905	00979013	Granger town	A	82717838	259106	31.938	0.1	42.479746	-78.01105                                                                                                                    
NY	3600330994	00979028	Grove town	A	86416760	868569	33.366	0.335	42.479522	-77.893852                                                                                                                   
NY	3600336112	00979084	Hume town	A	98134686	1115215	37.89	0.431	42.482162	-78.121765                                                                                                                    
NY	3600337297	00979091	Independence town	A	89313732	13927	34.484	0.005	42.043602	-77.794465                                                                                                             
NY	3600350375	00979266	New Hudson town	A	93974641	320749	36.284	0.124	42.285278	-78.253026                                                                                                              
NY	3600354523	00959239	Oil Springs Reservation	F	1528842	26577	0.59	0.01	42.231299	-78.302818                                                                                                           
NY	3600364166	00979441	Rushford town	A	91411111	2046456	35.294	0.79	42.393073	-78.250648                                                                                                                
NY	3600365772	00979475	Scio town	A	91311268	101114	35.255	0.039	42.147968	-77.992253                                                                                                                    
NY	3600378201	00979596	Ward town	A	75562522	43453	29.175	0.017	42.225029	-77.901772                                                                                                                     
NY	3600379103	00979616	Wellsville town	A	94912202	97025	36.646	0.037	42.118443	-77.925296                                                                                                               
NY	3600379202	00979617	West Almond town	A	93227509	246656	35.995	0.095	42.30794	-77.915557                                                                                                              
NY	3600382095	00979642	Willing town	A	93861110	78172	36.24	0.03	42.035864	-77.893377                                                                                                                    
