# https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_place_36.txt
INTPTLAT,INTPTLONG
41.801491,-74.230258
43.810218,-76.022978
43.869978,-75.988638
42.106321,-77.23199
42.229199,-75.52475
41.099156,-74.097916
43.017957,-78.497803
42.665745,-73.798353
40.771583,-73.648155
43.246024,-78.1902
42.898879,-78.494607
42.902021,-78.259113
44.344503,-75.922557
42.254333,-77.789646
42.093814,-78.492769
42.319325,-77.738608
42.705345,-74.033633
43.512425,-76.005578
44.890097,-73.659565
40.989808,-72.129705
41.848203,-73.555575
42.837469,-74.601681
40.669844,-73.415787
42.941628,-74.190566
42.187624,-74.780349
42.156996,-77.796098
42.305506,-78.020645
42.637885,-79.029516
42.654966,-79.052241
44.199538,-75.608971
42.070565,-76.162636
40.944009,-72.615377
42.530594,-78.441809
41.01355,-73.839381
43.236348,-73.490727
42.392596,-77.695482
41.695873,-73.898876
41.133463,-73.71928
40.93927,-73.38506
42.27103,-73.815933
40.588013,-73.72936
42.864098,-78.27981
42.9338,-76.567181
42.752192,-76.698439
44.454699,-73.670888
42.638519,-73.551042
42.414883,-77.424835
42.912854,-77.746512
40.693679,-73.326
42.301697,-75.478883
40.964623,-72.740315
40.663374,-73.610744
40.629981,-73.601992
43.156274,-76.330364
43.00564,-73.854458
41.527905,-74.024627
41.113952,-73.979297
43.328328,-78.553535
43.273792,-75.189029
40.606348,-73.645982
42.998558,-78.180806
42.336093,-77.31686
40.833771,-73.694759
40.631817,-73.668521
40.745984,-73.056388
40.730313,-73.24932
40.907257,-73.561166
40.753354,-73.289926
41.50324,-73.964735
41.447173,-74.118707
41.195974,-73.645855
41.240568,-73.688077
42.336195,-78.116873
40.724253,-73.716688
40.722147,-73.725163
40.960698,-73.067274
43.784625,-76.11623
40.660239,-73.526597
40.75095,-72.941325
42.220105,-78.030794
42.163445,-79.389366
43.082601,-77.942458
40.749519,-73.485536
42.163617,-76.908739
42.785031,-78.626552
42.101331,-75.909369
42.089141,-75.968456
44.009525,-75.796463
42.796519,-78.8324
41.068236,-73.954937
42.580138,-78.253745
42.566516,-76.132873
42.899149,-77.424223
41.551947,-74.443758
42.334396,-74.822777
40.751642,-73.035015
40.776692,-73.134854
42.068421,-78.166212
43.562154,-73.657015
43.480862,-75.329636
44.813979,-74.788948
42.184068,-76.739369
40.783958,-73.252193
43.232432,-76.14482
41.396162,-73.616269
41.421304,-73.606864
41.140333,-73.847504
40.95069,-72.313332
43.14829,-75.985923
42.878782,-75.251996
43.11882,-77.58102
40.716435,-73.261514
41.551937,-73.870924
43.055533,-74.195421
43.213297,-77.940824
42.389838,-79.442822
40.939444,-73.826446
40.776671,-72.907833
40.807912,-73.570122
44.005307,-75.98307
44.830681,-74.511908
41.261295,-73.948076
42.892492,-78.859686
42.416868,-76.843957
44.90317,-74.170003
42.042324,-79.278902
42.583882,-77.791523
42.305175,-74.01183
44.04735,-75.849778
42.975467,-77.857079
41.766858,-75.062027
40.922929,-72.768549
43.027869,-73.381236
43.336477,-75.74773
43.038602,-76.309926
42.235043,-77.193694
42.89908,-74.567869
42.888999,-77.280321
42.461762,-77.77727
43.084149,-75.755495
42.228437,-76.336645
42.270354,-77.605658
44.59951,-75.170671
44.123197,-76.330734
40.750027,-73.612124
41.420695,-73.687422
43.134003,-74.481423
43.982876,-75.603012
42.341564,-79.317023
42.631184,-78.052551
42.536568,-73.747924
43.886105,-75.516439
43.165568,-76.567506
42.214901,-73.858674
42.329763,-78.867519
42.919548,-76.727987
42.467675,-76.488417
42.927857,-75.85143
40.625204,-73.727833
42.105437,-79.276584
40.869569,-73.080798
40.802046,-72.795166
40.902425,-73.371427
42.706904,-74.347695
40.783765,-73.19447
43.285986,-76.141879
40.898546,-73.521919
43.029195,-75.270992
44.988281,-73.432429
41.160109,-73.767163
44.926589,-74.080398
42.36183,-73.597942
44.06835,-76.132748
42.210063,-79.469011
44.890851,-73.4292
42.909004,-78.750763
42.171427,-75.857719
42.295845,-79.100858
42.79818,-74.75217
41.356942,-74.276921
43.643112,-73.783522
