https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2017_Gazetteer/2017_gaz_place_36.txt
USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
NY	3600155	02389116	Accord CDP	57	S	8806877	112414	3.4	0.043	41.801491	-74.230258                                                                                                                       
NY	3600199	02391499	Adams village	47	A	3742271	0	1.445	0.	43.810218	-76.022978                                                                                                                          
NY	3600232	02389117	Adams Center CDP	57	S	12587220	350864	4.86	0.135	43.869978	-75.988638                                                                                                               
NY	3600276	02391500	Addison village	47	A	4902284	0	1.893	0.	42.106321	-77.23199                                                                                                                         
NY	3600342	02391501	Afton village	47	A	3953884	189228	1.527	0.073	42.229199	-75.52475                                                                                                                   
NY	3600408	02391502	Airmont village	47	A	11823371	4574	4.565	0.002	41.099156	-74.097916                                                                                                                 
NY	3600441	02391503	Akron village	47	A	5209767	0	2.012	0.	43.017957	-78.497803                                                                                                                          
NY	3601000	00978659	Albany city	25	A	55395227	1418568	21.388	0.548	42.665745	-73.798353                                                                                                                 
NY	3601011	02389121	Albertson CDP	57	S	1760203	0	0.68	0.	40.771583	-73.648155                                                                                                                           
NY	3601033	02391504	Albion village	47	A	7561710	0	2.92	0.	43.246024	-78.1902                                                                                                                            
NY	3601088	02391505	Alden village	47	A	7040219	0	2.718	0.	42.898879	-78.494607                                                                                                                          
NY	3601154	02391506	Alexander village	47	A	1132465	0	0.437	0.	42.902021	-78.259113                                                                                                                      
NY	3601187	02391507	Alexandria Bay village	47	A	1940697	1963648	0.749	0.758	44.344503	-75.922557                                                                                                        
NY	3601198	02391508	Alfred village	47	A	3081682	0	1.19	0.	42.254333	-77.789646                                                                                                                          
NY	3601286	02391509	Allegany village	47	A	1826794	18572	0.705	0.007	42.093814	-78.492769                                                                                                                
NY	3601440	02391510	Almond village	47	A	1461648	0	0.564	0.	42.319325	-77.738608                                                                                                                         
NY	3601517	02391511	Altamont village	47	A	3072859	243	1.186	0.	42.705345	-74.033633                                                                                                                     
NY	3601550	02772072	Altmar CDP	57	S	5359937	26813	2.069	0.01	43.512425	-76.005578                                                                                                                       
NY	3601572	02389128	Altona CDP	57	S	4427021	0	1.709	0.	44.890097	-73.659565                                                                                                                             
NY	3601594	02389130	Amagansett CDP	57	S	16905428	63212	6.527	0.024	40.989808	-72.129705                                                                                                                 
NY	3601682	02389131	Amenia CDP	57	S	3152792	70626	1.217	0.027	41.848203	-73.555575                                                                                                                      
NY	3601737	02391513	Ames village	47	A	338514	0	0.131	0.	42.837469	-74.601681                                                                                                                            
NY	3602044	02391514	Amityville village	47	A	5313910	1082480	2.052	0.418	40.669844	-73.415787                                                                                                            
NY	3602066	00978677	Amsterdam city	25	A	15209702	1002297	5.872	0.387	42.941628	-74.190566                                                                                                               
NY	3602121	02627968	Andes CDP	57	S	3601320	1229	1.39	0.	42.187624	-74.780349                                                                                                                            
NY	3602143	02391515	Andover village	47	A	2592521	39365	1.001	0.015	42.156996	-77.796098                                                                                                                 
NY	3602176	02391516	Angelica village	47	A	5573331	0	2.152	0.	42.305506	-78.020645                                                                                                                       
NY	3602198	02391517	Angola village	47	A	3669096	0	1.417	0.	42.637885	-79.029516                                                                                                                         
NY	3602220	02389136	Angola on the Lake CDP	57	S	6590978	0	2.545	0.	42.654966	-79.052241                                                                                                                 
NY	3602286	02391518	Antwerp village	47	A	2598790	75433	1.003	0.029	44.199538	-75.608971                                                                                                                 
NY	3602308	02389140	Apalachin CDP	57	S	3779536	0	1.459	0.	42.070565	-76.162636                                                                                                                          
